brand,year2021,year2021_rate,year2022,year2022_rate,year2023,year2023_rate,year2024,year2024_rate
현대자동차(주),101919,44.0,169247,43.4,226070,41.6,268915,39.3
기아 주식회사,54803,23.7,102753,26.4,150768,27.7,190013,27.8
테슬라코리아 유한회사,32872,14.2,47282,12.1,63618,11.7,93910,13.6
비엠더블유코리아(주),1999,0.9,7740,2.0,16477,3.0,22764,3.3
메르세데스-벤츠코리아(주),1971,0.9,6938,1.8,16048,3.0,20468,3.0
한국지엠주식회사,12062,5.2,14422,3.7,16083,3.0,15979,2.3
폭스바겐그룹코리아 주식회사,2151,0.9,6188,1.6,8045,1.5,14120,2.1
르노코리아(주),11850,5.1,11585,3.0,10887,2.0,10286,1.5
케이지모빌리티 주식회사(KG Mobility Corp.),2,0.0,115,0.0,2181,0.4,8350,1.2
포르쉐코리아 주식회사,1344,0.6,2469,0.6,4266,0.8,5431,0.8
폴스타오토모티브코리아 유한회사,0,0.0,2792,0.7,4437,0.8,5216,0.8
주식회사 쎄보모빌리티,1599,0.7,2525,0.6,2611,0.5,2359,0.3
(주)볼보자동차코리아,0,0.0,998,0.3,1666,0.3,1982,0.3
(주)GS글로벌,146,0.1,237,0.1,889,0.2,1925,0.3
주식회사 이브이케이엠씨,0,0.0,1197,0.3,1765,0.3,1920,0.3
(주)스마트솔루션즈,1578,0.7,2034,0.5,2015,0.4,1900,0.3
제이소모빌리티 주식회사,0,0.0,177,0.0,1240,0.2,1870,0.3
(주)일진정공,574,0.2,1116,0.3,1256,0.2,1317,0.2
스텔란티스코리아 주식회사,0,0.0,480,0.1,1078,0.2,1308,0.2
(주)루트17,0,0.0,0,0.0,0,0.0,1172,0.2
소계,224870,97.2,380295,97.5,531400,97.7,670485,98.0
전체합계,231443,100.0,389855,100.0,543900,100.0,684244,100.0
기타,6573,2.8,9560,2.5,12500,2.3,13759,2.0
